2025-10-17 10:03:46 | INFO | [7f2813aa-48f7-48e4-bc95-605cb2468451] Archivo: 078a92b0-c282-4283-ba41-9880957b4134_LGT_Art_70_Fr_V_MAL.xlsx | Nombre Corto: 5 LGT_Art_70_Fr_V | Tamaño: 0.03 MB | Errores: 3 | Tiempo: 0.1s | Estado: ERROR
2025-10-17 10:16:57 | INFO | [98ae34fa-96d9-488e-b92d-b6355f57e259] Archivo: 89497dd4-74be-465f-b93a-0e6563af67f5_LGT_Art_70_Fr_V_MAL.xlsx | Nombre Corto: 5 LGT_Art_70_Fr_V | Tamaño: 0.03 MB | Errores: 3 | Tiempo: 0.1s | Estado: ERROR
2025-10-17 10:23:52 | INFO | [6e6b033a-970c-4a3f-98f2-ccdff9c3cf9b] Archivo: 7d13af54-8c4d-40fa-9ef2-666912fb0eaa_malo.xlsx | Nombre Corto: 8a LGT_Art_70_Fr_VIII | Tamaño: 0.07 MB | Errores: 18 | Tiempo: 0.2s | Estado: ERROR
2025-10-17 10:27:35 | INFO | [0c5c091c-778d-4fde-8548-bbe8df388c92] Archivo: e73a294c-197e-46a1-bcf5-230614f8b0d6_LGT_Art_70_Fr_V_MAL.xlsx | Nombre Corto: 5 LGT_Art_70_Fr_V | Tamaño: 0.03 MB | Errores: 3 | Tiempo: 0.1s | Estado: ERROR
2025-10-17 10:36:50 | INFO | [6bed039d-4c0e-4252-acb2-27aeaeaaa050] Archivo: aaae7e00-9fef-445f-a250-e9b08715f8c9_malo.xlsx | Nombre Corto: 8a LGT_Art_70_Fr_VIII | Tamaño: 0.07 MB | Errores: 18 | Tiempo: 0.3s | Estado: ERROR
2025-10-17 10:41:55 | INFO | [ecd57df2-4642-425d-9062-280d0da6c4d6] Archivo: 57d50ca2-7057-4b87-9b01-e69b34dc728b_LGT_Art_70_Fr_V_MAL.xlsx | Nombre Corto: 5 LGT_Art_70_Fr_V | Tamaño: 0.03 MB | Errores: 3 | Tiempo: 0.1s | Estado: ERROR
2025-10-17 10:42:40 | INFO | [8f81849c-0d5f-496b-9cbb-d623403cb26c] Archivo: ebcf3266-4fbc-4262-9e2e-e6dc29bb0b13_LGT_Art_70_Fr_V_MAL.xlsx | Nombre Corto: 5 LGT_Art_70_Fr_V | Tamaño: 0.03 MB | Errores: 3 | Tiempo: 0.2s | Estado: ERROR
2025-10-17 10:45:13 | INFO | [46d69402-9c7c-4a72-8316-e05cb8f29214] Archivo: 858d3e8d-2c5a-4442-994d-2495a9a6694b_81b-LGT_Art_81_320_5_Lineas.xlsx | Nombre Corto: 81b LGT_Art_81 | Tamaño: 20.79 MB | Errores: 400031 | Tiempo: 107.2s | Estado: ERROR
2025-10-17 10:52:32 | INFO | [9bf5d1a8-94ea-4d3b-9405-045359827780] Archivo: 9e75b7f9-3eae-49d0-80a3-92811db1d28a_LGT_Art_70_Fr_V_MAL.xlsx | Nombre Corto: 5 LGT_Art_70_Fr_V | Tamaño: 0.03 MB | Errores: 3 | Tiempo: 0.1s | Estado: ERROR
2025-10-17 10:55:38 | INFO | [1d86eac2-1b16-4d1b-b8be-5eedb2d76ae6] Archivo: 12f5287e-e500-4b33-8c70-1525df88910d_81b-LGT_Art_81_320_5_Lineas.xlsx | Nombre Corto: 81b LGT_Art_81 | Tamaño: 20.79 MB | Errores: 48 | Tiempo: 107.7s | Estado: ERROR
2025-10-17 11:09:38 | INFO | [1a99a7ac-dc60-4f66-862a-04d82f210a3d] Archivo: 04acb728-0628-4e56-8d2a-8c2d0e79c08c_81b-LGT_Art_81_320_5_Lineas.xlsx | Nombre Corto: 81b LGT_Art_81 | Tamaño: 20.79 MB | Errores: 48 | Tiempo: 100.9s | Estado: ERROR
2025-10-17 11:11:31 | INFO | [d073b2ae-c210-4d25-9378-a72811601196] Archivo: ba5543f1-fd98-45db-9a45-da664c7f6f99_prueba.xlsx | Nombre Corto: 5 LGT_Art_70_Fr_V | Tamaño: 0.03 MB | Errores: 3 | Tiempo: 0.1s | Estado: ERROR
2025-10-17 11:12:20 | INFO | [dbacb48c-3624-4936-8660-e1ae7aaef5e6] Archivo: 08c3b4bd-eea2-4679-a908-ef5c114b216d_LGT_Art_70_Fr_V.xlsx | Nombre Corto: 5 LGT_Art_70_Fr_V | Tamaño: 0.03 MB | Errores: 1 | Tiempo: 0.2s | Estado: ERROR
2025-10-17 11:13:24 | INFO | [10ecc8a8-f780-4a49-9a86-008599722ac9] Archivo: c1c9725d-071d-443e-b9aa-f34913efc00a_LGT_Art_70_Fr_V.xlsx | Nombre Corto: 5 LGT_Art_70_Fr_V | Tamaño: 0.03 MB | Errores: 0 | Tiempo: 0.1s | Estado: OK
